feature_16,feature_23,feature_21,feature_3,feature_8,feature_28,feature_27,feature_13,feature_14,feature_1,feature_4,feature_18,target
0.04904,184.6,25.38,122.8,0.1471,0.2654,0.7119,8.589,153.4,17.99,1001.0,0.01587,1
0.01308,158.8,24.99,132.9,0.07017,0.186,0.2416,3.398,74.08,20.57,1326.0,0.0134,1
0.04006,152.5,23.57,130.0,0.1279,0.243,0.4504,4.585,94.03,19.69,1203.0,0.02058,1
0.07458,98.87,14.91,77.58,0.1052,0.2575,0.6869,3.445,27.23,11.42,386.1,0.01867,1
0.02461,152.2,22.54,135.1,0.1043,0.1625,0.4,5.438,94.44,20.29,1297.0,0.01885,1
0.03345,103.4,15.47,82.57,0.08089,0.1741,0.5355,2.217,27.19,12.45,477.1,0.01137,1
0.01382,153.2,22.88,119.6,0.074,0.1932,0.3784,3.18,53.91,18.25,1040.0,0.01039,1
0.03029,110.6,17.06,90.2,0.05985,0.1556,0.2678,3.856,50.96,13.71,577.9,0.01448,1
0.03502,106.2,15.49,87.5,0.09353,0.206,0.539,2.406,24.32,13.0,519.8,0.01226,1
0.07217,97.65,15.09,83.97,0.08543,0.221,1.105,2.039,23.94,12.46,475.9,0.01432,1
0.009269,123.8,19.19,102.7,0.03323,0.09975,0.1459,2.466,40.51,16.02,797.8,0.007591,1
0.04061,136.5,20.42,103.6,0.06606,0.181,0.3965,3.564,54.16,15.78,781.0,0.01282,1
0.08297,151.7,20.96,132.4,0.1118,0.1767,0.3639,11.07,116.2,19.17,1123.0,0.0409,1
0.03126,112.0,16.84,103.7,0.05364,0.1119,0.2322,2.903,36.58,15.85,782.7,0.01992,1
0.05936,108.8,15.03,93.6,0.08025,0.2208,0.6943,2.061,19.21,13.73,578.3,0.01628,1
0.0424,124.1,17.46,96.73,0.07364,0.1712,0.7026,2.879,32.55,14.54,658.8,0.0109,1
0.01162,123.4,19.07,94.74,0.05259,0.1609,0.2914,3.195,45.4,14.68,684.5,0.01109,1
0.02501,136.8,20.96,108.1,0.1028,0.2073,0.4784,3.854,54.18,16.13,798.8,0.01297,1
0.01893,186.8,27.32,130.0,0.09498,0.2388,0.5372,5.865,112.4,19.81,1260.0,0.01521,1
0.0146,99.7,15.11,87.46,0.04781,0.1288,0.239,2.058,23.56,13.54,566.3,0.01315,0
0.01898,96.09,14.5,85.63,0.0311,0.07283,0.189,1.383,14.67,13.08,520.0,0.00649,0
0.01432,65.13,10.23,60.34,0.02076,0.06227,0.08867,1.909,15.7,9.504,273.9,0.01421,0
0.05328,125.1,18.07,102.5,0.09756,0.2393,0.6305,3.384,44.91,15.34,704.4,0.02252,1
0.01259,188.0,29.17,137.2,0.08632,0.2009,0.3155,4.303,93.99,21.16,1404.0,0.01038,1
0.01882,177.0,26.46,110.0,0.0917,0.2095,0.4695,5.455,102.6,16.65,904.6,0.0113,1
0.03799,152.4,22.25,116.0,0.1401,0.255,0.3853,7.276,111.4,17.14,912.7,0.02397,1
0.03055,122.4,17.62,97.41,0.08783,0.2701,0.5539,2.11,21.05,14.58,644.8,0.01352,1
0.02722,139.9,21.31,122.1,0.07731,0.149,0.3446,5.632,93.54,18.61,1094.0,0.01911,1
0.03057,149.3,20.27,102.4,0.08751,0.2024,0.6335,3.498,43.5,15.3,732.4,0.01083,1
0.03033,134.9,20.01,115.0,0.07953,0.1456,0.2489,4.655,61.1,17.57,955.1,0.01354,1
0.03374,160.5,23.15,124.8,0.1244,0.1848,0.6133,5.574,105.0,18.63,1088.0,0.01158,1
0.03414,119.4,16.82,77.93,0.05182,0.1546,0.6956,3.475,41.0,11.84,440.6,0.01044,1
0.03082,136.1,20.88,112.8,0.1203,0.1847,0.5588,3.999,67.78,17.02,899.3,0.01112,1
0.03318,161.4,24.15,127.9,0.07593,0.1785,0.6091,3.528,68.17,19.27,1162.0,0.009643,1
0.02868,132.7,20.21,107.0,0.07752,0.1864,0.5274,2.183,35.03,16.13,807.2,0.009067,1
0.02499,133.5,20.01,110.1,0.06018,0.1813,0.5409,3.008,45.19,16.74,869.5,0.01195,1
0.02995,116.2,15.89,93.63,0.05598,0.1447,0.5186,2.657,24.91,14.25,633.0,0.01161,1
0.004899,84.46,13.3,82.61,0.02923,0.05013,0.04833,1.17,14.16,13.03,523.8,0.01164,0
0.01094,95.54,14.99,95.54,0.02899,0.02899,0.02398,8.077,106.0,14.99,698.8,0.01917,1
0.02239,107.3,15.53,88.4,0.05439,0.2258,0.503,1.545,18.52,13.48,559.2,0.01262,1
0.01102,102.5,15.93,86.18,0.02031,0.1112,0.2085,1.572,20.53,13.44,563.0,0.006881,1
0.01764,87.22,12.84,71.9,0.05669,0.1424,0.4023,1.822,16.97,10.95,371.1,0.01037,1
0.1006,177.4,24.09,128.3,0.09961,0.2493,0.7242,8.83,104.9,19.07,1104.0,0.02638,1
0.02147,113.1,17.38,87.32,0.06158,0.1492,0.3664,2.427,31.33,13.28,545.2,0.00956,1
0.01384,105.5,16.23,85.42,0.05252,0.1607,0.3728,1.334,14.49,13.17,531.5,0.006853,1
0.03994,150.6,22.82,123.7,0.1009,0.2378,0.7345,4.293,71.56,18.65,1076.0,0.01695,1
0.01646,57.26,8.964,51.71,0.005917,0.02564,0.0688,1.094,8.205,8.196,201.9,0.005917,0
0.02336,102.8,15.67,85.98,0.0734,0.2088,0.5006,1.897,24.25,13.17,534.6,0.01215,1
0.01427,89.88,13.76,78.04,0.02749,0.06548,0.305,1.848,19.87,12.05,449.3,0.00566,0
0.01382,99.0,15.15,86.91,0.03384,0.1282,0.2282,1.735,20.2,13.49,561.0,0.01184,0
0.009758,82.98,12.98,74.72,0.01115,0.03715,0.05523,2.635,28.47,11.76,427.9,0.007445,0
0.01177,96.08,14.67,87.21,0.01723,0.08586,0.105,1.449,14.55,13.64,571.8,0.007956,0
0.00838,83.67,13.1,75.71,0.01349,0.06296,0.09203,1.52,17.47,11.94,437.6,0.008,0
0.02961,135.1,20.6,120.3,0.106,0.1325,0.2623,4.877,98.81,18.22,1033.0,0.009222,1
0.0103,117.7,18.1,97.26,0.03334,0.153,0.2712,2.097,29.91,15.1,712.8,0.009222,1
0.008722,81.81,12.84,73.34,0.02278,0.06316,0.09076,2.183,23.47,11.52,409.0,0.00867,0
0.02306,170.1,26.14,125.5,0.08994,0.2091,0.3879,4.837,102.5,19.21,1152.0,0.01538,1
0.02855,115.7,17.87,95.55,0.08123,0.1834,0.3587,2.735,40.09,14.71,656.9,0.01272,1
0.008593,90.24,14.23,82.61,0.004167,0.01111,0.001845,2.595,32.96,13.05,527.2,0.004167,0
0.01055,59.9,9.507,54.34,0.007799,0.04419,0.1168,1.046,8.322,8.618,224.5,0.005742,0
0.01099,69.86,11.02,64.55,0.0129,0.02579,0.02168,3.312,34.62,10.17,311.9,0.008193,0
0.03162,62.06,9.565,54.66,0.009259,0.02778,0.09001,2.493,18.39,8.598,221.8,0.009259,0
0.07056,119.1,17.67,96.42,0.08653,0.1785,0.6922,5.373,60.78,14.25,645.7,0.01848,1
0.03938,65.59,10.01,59.2,0.0218,0.05087,0.1397,2.608,23.52,9.173,260.9,0.0156,0
0.02648,111.8,17.09,82.69,0.06873,0.1716,0.4024,2.927,36.46,12.68,499.0,0.0129,1
0.0231,114.6,17.31,97.4,0.09029,0.1614,0.3024,2.45,35.24,14.78,668.3,0.01184,1
0.01755,67.03,10.41,60.11,0.01504,0.06517,0.09412,1.66,14.2,9.465,269.4,0.009333,0
0.009216,78.0,12.33,71.8,0.0223,0.06961,0.1444,1.831,18.15,11.31,394.1,0.008965,0
0.08606,65.5,10.31,58.79,0.04375,0.175,1.252,1.885,17.67,9.029,250.5,0.03322,0
