feature_49,feature_47,feature_18,feature_44,feature_50,feature_2,feature_77,feature_62,feature_12,feature_71,feature_36,feature_9,feature_11,feature_27,feature_8,feature_19,target
0.354604528,1.443090669,2.308745322,0.182150472,1.339069956,0.747193224,1.67565235,0.247537821,0.306381721,0.106305209,0.825192043,0.232223754,0.687906244,0.264526295,2.373744337,0.44159937,c-CS-m
0.354548277,1.439459795,2.043036519,0.182086309,1.306323088,0.689063548,1.743609645,0.257632205,0.299051088,0.106592156,0.761717627,0.226972108,0.69500623,0.25572702,2.292149909,0.445221892,c-CS-m
0.386086771,1.52436418,2.017983547,0.18438769,1.279600342,0.730246795,1.926426587,0.255343022,0.291276067,0.108303056,0.757030802,0.230246795,0.677348383,0.259613545,2.283336522,0.467667878,c-CS-m
0.290679519,1.612382051,2.132754174,0.161767701,1.19876451,0.61707615,1.700563438,0.251103116,0.296728655,0.103183762,0.746979775,0.207004208,0.583276775,0.259535768,2.152300801,0.477670694,c-CS-m
0.309345015,1.645807259,2.013696791,0.16020025,1.206994855,0.617429838,1.839730218,0.25177305,0.286961192,0.104783757,0.691956493,0.192157916,0.550960118,0.250704982,2.134013697,0.483416141,c-CS-m
0.332367081,1.634615385,1.968275306,0.162330317,1.12344457,0.62817583,1.816388575,0.244485294,0.289823901,0.106476244,0.674418605,0.195187525,0.566339562,0.250840167,2.14128243,0.495899987,c-CS-m
0.266857376,1.773845525,2.01257071,0.145565999,1.03228443,0.573695789,1.528483858,0.238005721,0.299654305,0.097834083,0.757542426,0.195788812,0.509899434,0.261470773,2.012413576,0.497485858,c-CS-m
0.288607595,1.795780591,1.85703317,0.147848101,1.152067511,0.564035627,1.652658228,0.241434599,0.283015971,0.099493671,0.695178133,0.18980344,0.501074939,0.250614251,2.007985258,0.48955774,c-CS-m
0.294112569,1.805248619,1.822070766,0.150120856,1.107907459,0.538428074,1.834599448,0.236015193,0.266966357,0.105145028,0.636890951,0.180684455,0.476653132,0.230423434,1.861513921,0.464472158,c-CS-m
0.24977518,1.926596223,1.783249243,0.14006295,0.930980216,0.499293643,1.516861511,0.244829137,0.324117053,0.09330036,0.742078708,0.188092836,0.455499495,0.257719475,1.717860747,0.493037336,c-CS-m
0.275416952,1.902901531,1.756132171,0.144505369,0.899017592,0.513277924,1.613548092,0.250628284,0.290289884,0.094356865,0.693087371,0.185282789,0.461179809,0.266166633,1.724508413,0.509831745,c-CS-m
0.287319612,2.001656021,1.690812721,0.142299503,0.967707594,0.499411072,1.722971374,0.249704282,0.27718885,0.098414952,0.666274048,0.190223793,0.447192776,0.243423636,1.672555948,0.492343934,c-CS-m
0.244889503,1.904005525,1.737701486,0.12679558,0.944060773,0.482101737,1.426933702,0.277624309,0.272137325,0.097651934,0.690391459,0.171027842,0.471844254,0.273812016,1.508687461,0.461168097,c-CS-m
0.254957109,1.972577697,1.686083457,0.134298973,0.929545774,0.485914001,1.500070314,0.252003938,0.284261809,0.094642104,0.68904893,0.179834781,0.463249312,0.239779708,1.50900233,0.485066723,c-CS-m
0.269770774,1.959455587,1.655781475,0.12277937,0.903581662,0.46231259,1.613896848,0.249283668,0.266173752,0.099140401,0.657013761,0.176422263,0.426987061,0.230642842,1.444239063,0.465393305,c-CS-m
0.294117647,0.94272786,1.711026056,0.201228184,1.347123465,0.862652731,1.297220427,0.233484163,0.355365818,0.138655462,0.872368615,0.19446489,1.081554541,0.272044752,2.277491535,0.387163256,c-CS-m
0.380730897,0.963388704,1.525172891,0.187840532,1.150631229,0.807053942,1.363189369,0.235149502,0.331950207,0.111362126,0.818118949,0.174688797,1.07593361,0.246473029,2.118810512,0.367496542,c-CS-m
0.400961278,0.975494178,1.521097628,0.183455185,1.176617926,0.802537231,1.404481451,0.237544002,0.326668505,0.112036285,0.831081081,0.171400993,1.065637066,0.24310535,2.10728075,0.388306674,c-CS-m
