feature_40,feature_41,feature_33,feature_64,feature_61,feature_31,feature_36,feature_44,feature_77,feature_11,feature_2,feature_73,feature_65,feature_66,feature_71,feature_5,feature_28,feature_20,feature_53,feature_54,feature_35,feature_1,feature_15,feature_7,target
0.394721292,0.339570613,0.369509553,2.014874607,0.430957458,0.453909789,0.825192043,0.182150472,1.67565235,0.687906244,0.747193224,0.427099198,0.108234339,1.044979186,0.106305209,5.990151664,0.319676975,0.859365767,0.18885166,0.106305209,0.335335828,0.503643884,1.022060272,0.177565491,c-CS-m
0.368254577,0.321959168,0.342279306,2.004605195,0.457156163,0.430940286,0.761717627,0.182086309,1.743609645,0.69500623,0.689063548,0.441581289,0.109748525,1.009883059,0.106592156,5.685037861,0.304418672,0.834659254,0.184570009,0.106592156,0.324834659,0.51461708,0.956675932,0.172817023,c-CS-m
0.363879855,0.3130859,0.343696193,2.016830519,0.510472323,0.423187297,0.757030802,0.18438769,1.926426587,0.677348383,0.730246795,0.435776875,0.108196196,0.996847617,0.108303056,5.622058542,0.3117467,0.814329443,0.190532165,0.108303056,0.324851731,0.509183088,1.003634972,0.175722212,c-CS-m
0.366770734,0.328491923,0.344509298,1.957233046,0.430995859,0.410614904,0.746979775,0.161767701,1.700563438,0.583276775,0.61707615,0.391690992,0.119883239,0.990224696,0.103183762,4.97950319,0.279218135,0.727704629,0.185323468,0.103183762,0.330120809,0.442106692,0.875390254,0.176462604,c-CS-m
0.35155096,0.312206258,0.329125822,2.009108608,0.481226533,0.398549752,0.691956493,0.16020025,1.839730218,0.550960118,0.617429838,0.434153803,0.119524406,0.997774997,0.104783757,4.718678663,0.273667249,0.687793742,0.188221388,0.104783757,0.313414798,0.434940244,0.864912045,0.173626964,c-CS-m
0.347224089,0.303132141,0.327597795,2.003535068,0.478577489,0.391047184,0.674418605,0.162330317,1.816388575,0.566339562,0.62817583,0.439833145,0.120687217,0.920178167,0.106476244,4.807635435,0.284043554,0.672402205,0.183823529,0.106476244,0.296276381,0.447506385,0.85912085,0.176233365,c-CS-m
0.360307982,0.329352608,0.345380264,1.861708214,0.415529219,0.405562539,0.757542426,0.145565999,1.528483858,0.509899434,0.573695789,0.406293421,0.117041275,1.028769922,0.097834083,4.473130107,0.276241358,0.646134507,0.181610135,0.097834083,0.333909491,0.428032684,0.844280327,0.184003771,c-CS-m
0.338298526,0.298525799,0.328163391,1.969451477,0.451139241,0.375460688,0.695178133,0.147848101,1.652658228,0.501074939,0.564035627,0.382531646,0.116877637,0.943544304,0.099493671,4.268734644,0.265356265,0.628071253,0.182869198,0.099493671,0.322788698,0.416922604,0.818642506,0.179668305,c-CS-m
0.312064965,0.279292343,0.309164733,1.958736188,0.455973757,0.351218097,0.636890951,0.150120856,1.834599448,0.476653132,0.538428074,0.435687155,0.11386395,0.94690953,0.105145028,4.063950116,0.252610209,0.600638051,0.178522099,0.105145028,0.294518561,0.386310905,0.748259861,0.167778422,c-CS-m
0.358627649,0.336024218,0.373965691,1.818907374,0.410971223,0.380423814,0.742078708,0.14006295,1.516861511,0.455499495,0.499293643,0.414793165,0.13995054,0.970323741,0.09330036,3.598587286,0.301513623,0.570534813,0.171088129,0.09330036,0.394349142,0.380827447,0.743491423,0.188092836,c-CS-m
0.341374417,0.323535374,0.34684776,1.861549006,0.429403701,0.418812082,0.693087371,0.144505369,1.613548092,0.461179809,0.513277924,0.385423806,0.126799178,0.940370117,0.094356865,3.66105818,0.262720454,0.547536996,0.183801691,0.094356865,0.352118386,0.366511251,0.765659842,0.193796878,c-CS-m
0.330977621,0.319199058,0.333922261,1.913532056,0.455050863,0.368080094,0.666274048,0.142299503,1.722971374,0.447192776,0.499411072,0.442394133,0.124201561,0.911521173,0.098414952,3.466627405,0.281311347,0.549862583,0.17411876,0.098414952,0.33451119,0.364153907,0.743031017,0.204358068,c-CS-m
0.32593678,0.332426209,0.322378062,1.760635359,0.395441989,0.366338706,0.690391459,0.12679558,1.426933702,0.471844254,0.482101737,0.440331492,0.160773481,0.997237569,0.097651934,3.349591794,0.256018422,0.494871258,0.175276243,0.097651934,0.37366548,0.364873351,0.723047938,0.188821436,c-CS-m
0.329379369,0.321965685,0.339970345,1.792434257,0.415412741,0.367295065,0.68904893,0.134298973,1.500070314,0.463249312,0.485914001,0.422162846,0.131345802,0.980874701,0.094642104,3.349290405,0.25672527,0.524465156,0.174377725,0.094642104,0.370684177,0.381910612,0.755348443,0.188519381,c-CS-m
0.30971452,0.336414048,0.326966523,1.764756447,0.434527221,0.356541384,0.657013761,0.12277937,1.613896848,0.426987061,0.46231259,0.446561605,0.125501433,0.942406877,0.099140401,3.287122612,0.242349558,0.510166359,0.173352436,0.099140401,0.358595194,0.37440953,0.695830766,0.185459026,c-CS-m
0.523332843,0.407478286,0.387163256,1.68332256,0.355074337,0.421610481,0.872368615,0.201228184,1.297220427,1.081554541,0.862652731,0.440142211,0.137879767,1.177892696,0.138655462,6.067569557,0.28764905,0.856469895,0.192243051,0.138655462,0.373767113,0.743117916,0.956131312,0.185337848,c-CS-m
0.474965422,0.36473029,0.362102351,1.693820598,0.373621262,0.389626556,0.818118949,0.187840532,1.363189369,1.07593361,0.807053942,0.454352159,0.128837209,1.115681063,0.111362126,5.595573997,0.259197787,0.810511757,0.191827243,0.111362126,0.361410788,0.711479945,0.894467497,0.165975104,c-CS-m
0.457253172,0.35452289,0.35314396,1.791835906,0.388302193,0.393546608,0.831081081,0.183455185,1.404481451,1.065637066,0.802537231,0.45450853,0.13633902,1.044476036,0.112036285,5.548400441,0.275096525,0.812327634,0.186704576,0.112036285,0.348731384,0.704633205,0.894373966,0.165057915,c-CS-m
0.497762029,0.4000373,0.398358821,1.6362129,0.36345548,0.416822081,0.876725103,0.205355662,1.170038136,0.977620291,0.770234987,0.458547505,0.149975129,1.09053225,0.111507213,4.975195822,0.283289817,0.784222305,0.188028519,0.111507213,0.404513241,0.677359194,0.895188363,0.186497576,c-CS-m
0.4273906,0.337439222,0.327066451,1.65702791,0.364428799,0.364343598,0.764829822,0.168971587,1.272986338,0.838573744,0.678768233,0.42502724,0.144162266,1.020870003,0.100578325,4.313938412,0.239222042,0.672447326,0.182549661,0.100578325,0.349918963,0.591572123,0.768557536,0.161102107,c-CS-m
0.432822833,0.342151062,0.36407936,1.652261475,0.386842326,0.382004873,0.831534981,0.166736595,1.279936226,0.871388792,0.716672468,0.439456239,0.132835445,1.047243434,0.110682219,4.571179951,0.255482074,0.717020536,0.182092809,0.110682219,0.37086669,0.618517229,0.831360947,0.171597633,c-CS-m
0.505822077,0.433628319,0.4035864,1.562761968,0.367196117,0.424778761,0.909874243,0.1732848,1.178248401,0.886353051,0.69958081,0.407346128,0.153540702,1.178138098,0.104897419,4.449231486,0.266884024,0.772706102,0.193470108,0.104897419,0.435491383,0.702608291,0.900791803,0.197019096,c-CS-m
0.484162896,0.413800905,0.381447964,1.611957135,0.349125776,0.411085973,0.883936652,0.159954879,1.219966159,0.850452489,0.690271493,0.471517202,0.150592217,1.118668923,0.112351946,4.229411765,0.264253394,0.743438914,0.181725888,0.112351946,0.4260181,0.598868778,0.85,0.187104072,c-CS-m
0.421030405,0.349873311,0.357896959,1.582706767,0.366430783,0.378378378,0.836993243,0.15247678,1.246130031,0.822212838,0.641891892,0.444272446,0.142525431,0.979544449,0.1036046,4.020692568,0.244721284,0.685388514,0.166850951,0.1036046,0.383445946,0.561866554,0.794552365,0.173775338,c-CS-m
0.491117792,0.441104127,0.399836021,1.574883848,0.400792566,0.376878929,0.891773709,0.165345723,1.077480186,0.711943154,0.561355562,0.430308828,0.16602897,1.154413774,0.10426346,3.558895873,0.258540585,0.660836294,0.169171905,0.10426346,0.478272752,0.55097021,0.822629134,0.194588685,c-CS-m
0.562440721,0.5042681,0.447992412,1.554312227,0.413891921,0.46095479,1.035093266,0.15010917,1.144377729,0.839076826,0.701865318,0.40625,0.165393013,1.068367904,0.097980349,4.109705975,0.306670882,0.742333228,0.165938865,0.097980349,0.559595321,0.538412899,0.934555801,0.223205817,c-CS-m
0.450969971,0.410045177,0.386925326,1.584881757,0.406109234,0.395163433,0.854371512,0.152730856,1.238457207,0.733988839,0.583045442,0.389358108,0.157657658,1.027167793,0.110078829,3.381344672,0.247408982,0.609619984,0.154279279,0.110078829,0.458942333,0.521126761,0.774647887,0.189476482,c-CS-m
0.480110159,0.485312118,0.382802938,1.402583084,0.372814616,0.365361077,0.82619339,0.156717593,0.981414396,0.685740514,0.540085679,0.411245865,0.172468105,1.103323358,0.075444952,2.873623011,0.238066095,0.593329253,0.155930068,0.075444952,0.456854345,0.488372093,0.732864137,0.210526316,c-CS-m
0.474399494,0.455436157,0.408343869,1.403901503,0.342500799,0.389380531,0.882743363,0.135913016,0.994403582,0.686156764,0.564791403,0.40821874,0.179724976,1.030060761,0.091461465,2.978824273,0.248735777,0.616940582,0.152542373,0.091461465,0.509797724,0.514854614,0.76517067,0.175094817,c-CS-m
0.459293395,0.428571429,0.361290323,1.42492222,0.388570493,0.366513057,0.871889401,0.142459473,1.030948092,0.695852535,0.556374808,0.361061077,0.159325364,1.009988538,0.09317177,2.847004608,0.238095238,0.568970814,0.146880629,0.09317177,0.488479263,0.485099846,0.727803379,0.177572965,c-CS-m
0.488265115,0.368757041,0.358148704,2.221383089,0.571351004,0.442921517,0.799380398,0.248877042,1.649982724,1.022812617,0.954187007,0.54124093,0.148822745,1.180117479,0.148773385,5.915039429,0.322474653,1.028539241,0.202872797,0.148773385,0.383589936,0.627581675,1.083176868,0.185598949,c-CS-m
0.506551462,0.388340296,0.395366502,2.215773665,0.569082453,0.46268515,0.823205469,0.248037981,1.63898847,1.053551082,0.962020509,0.525966476,0.162581145,1.066127313,0.14766011,5.975028485,0.332985188,1.042821876,0.205745567,0.14766011,0.394511964,0.651253323,1.122293961,0.188473224,c-CS-m
0.539469961,0.405639913,0.383853626,2.098199369,0.537033599,0.459964161,0.867207394,0.236124002,1.564924819,1.025841743,0.9671791,0.508214219,0.166326341,1.063393354,0.14316874,5.927379044,0.340375365,1.05856833,0.208975311,0.14316874,0.402338961,0.64434594,1.135150429,0.182589833,c-CS-m
0.467751805,0.354546567,0.342430547,2.207185323,0.571437704,0.406926937,0.76135112,0.230262737,1.68222208,0.906988129,0.812018113,0.561720898,0.148373074,1.291056703,0.140062648,5.808101824,0.292497858,0.939909436,0.202582625,0.140062648,0.392852772,0.568229103,0.959980419,0.17990454,c-CS-m
0.496232102,0.387967847,0.360085406,2.212113533,0.55993411,0.422381311,0.792514444,0.236061835,1.660352255,0.917357448,0.863727707,0.534845413,0.165103903,1.157121135,0.140775469,6.006656619,0.308590806,0.979276564,0.2093259,0.140775469,0.40919367,0.587038433,1.006154233,0.189399648,c-CS-m
0.529220779,0.406218781,0.366883117,2.085820668,0.54696942,0.43031968,0.85964036,0.227919185,1.61081609,0.917832168,0.861763237,0.512116218,0.171580297,1.186595862,0.138192028,6.368256743,0.321303696,1.000874126,0.214368553,0.138192028,0.417457542,0.595904096,1.049575425,0.187687313,c-CS-m
0.460155782,0.357549431,0.340023966,2.257022984,0.547154323,0.393499101,0.763031756,0.214976286,1.727380518,0.799880168,0.721090473,0.560105801,0.141280555,1.26286027,0.132068588,5.191731576,0.284451768,0.84182145,0.200109449,0.132068588,0.408777711,0.522917915,0.876123427,0.186638706,c-CS-m
0.491977785,0.387226165,0.350200555,2.188536032,0.507154074,0.415303919,0.78771984,0.207468156,1.650846275,0.819962974,0.748071583,0.506979585,0.160181469,1.269499215,0.133310068,5.495063252,0.301758716,0.892780006,0.207206421,0.133310068,0.423943227,0.530854674,0.923788954,0.187596421,c-CS-m
0.529411765,0.412851156,0.375756635,2.128739179,0.488128911,0.413161571,0.849914636,0.206994086,1.555326991,0.839670961,0.773863107,0.516842376,0.167823776,1.214451016,0.127624925,5.987583424,0.321434115,0.916188111,0.209651153,0.127624925,0.444358218,0.534999224,0.978891821,0.184541363,c-CS-m
0.479603507,0.39306138,0.356080823,2.216377694,0.546860356,0.417460923,0.815287838,0.202085286,1.655576382,0.787266489,0.736370568,0.583997188,0.160613871,1.380974695,0.135074977,4.947197865,0.309569196,0.845215402,0.202085286,0.135074977,0.461303851,0.519443385,0.893823866,0.205299276,c-CS-m
0.492920521,0.407211629,0.39116481,2.188295165,0.54661115,0.425901454,0.828204644,0.197085357,1.681702521,0.781952048,0.735699453,0.574485311,0.170830442,1.48912792,0.126185519,5.101000566,0.295827827,0.883518973,0.215244043,0.126185519,0.457428733,0.508589768,0.919388333,0.201057202,c-CS-m
0.524853525,0.434889435,0.3997354,2.081277533,0.493722467,0.425817426,0.856170856,0.194162996,1.585792952,0.795879796,0.737478737,0.532929515,0.166189427,1.375330396,0.129845815,5.601209601,0.307125307,0.88962389,0.219273128,0.129845815,0.475146475,0.516537517,0.96012096,0.183897184,c-CS-m
0.477666363,0.383090246,0.353691887,2.098729633,0.555233361,0.384229717,0.817228806,0.185584093,1.615575808,0.731084777,0.685278031,0.520022093,0.163766915,1.352112676,0.129798398,4.5,0.295578851,0.80515041,0.188207677,0.129798398,0.434366454,0.454421149,0.871467639,0.208751139,c-CS-m
0.489132922,0.412948982,0.373369938,2.066604128,0.508978826,0.382292382,0.858156028,0.182792817,1.561913696,0.760466712,0.697323267,0.547038328,0.185875101,1.426159207,0.113106406,4.652024708,0.306566003,0.842598948,0.187215224,0.113106406,0.455730954,0.471745596,0.896133608,0.215511325,c-CS-m
0.527075812,0.436371841,0.379738267,2.01124183,0.496732026,0.420126354,0.88898917,0.179869281,1.530457516,0.756543321,0.684115523,0.557124183,0.185620915,1.357385621,0.114379085,5.008122744,0.324458484,0.861687726,0.197254902,0.114379085,0.472924188,0.481272563,0.92599278,0.22450361,c-CS-m
0.478551838,0.336478332,0.337356007,2.495856354,0.606834014,0.414810752,0.794624246,0.247357675,1.680398751,0.832473944,0.763027976,0.589959164,0.156617824,1.244535191,0.149351429,6.31727921,0.281952825,0.948546352,0.205741052,0.149351429,0.391771805,0.560614372,1.051563357,0.167635765,c-CS-m
