feature_49,feature_47,feature_18,feature_44,feature_50,feature_2,feature_77,feature_62,feature_12,feature_71,feature_36,feature_9,feature_11,feature_27,feature_8,feature_19,feature_17,feature_45,feature_23,feature_53,feature_32,feature_63,feature_21,feature_31,feature_65,feature_66,feature_7,feature_40,feature_55,feature_75,feature_22,feature_13,feature_73,feature_46,feature_26,feature_14,feature_5,feature_29,feature_43,target
0.354604528,1.443090669,2.308745322,0.182150472,1.339069956,0.747193224,1.67565235,0.247537821,0.306381721,0.106305209,0.825192043,0.232223754,0.687906244,0.264526295,2.373744337,0.44159937,1.877683671,0.84272515,0.178944258,0.18885166,3.037620642,1.603309981,0.416289147,0.453909789,0.108234339,1.044979186,0.177565491,0.394721292,0.144989339,0.131790029,0.369608036,0.402698444,0.427099198,0.192608387,1.537226709,0.296927319,5.990151664,0.813866457,0.294169785,c-CS-m
0.354548277,1.439459795,2.043036519,0.182086309,1.306323088,0.689063548,1.743609645,0.257632205,0.299051088,0.106592156,0.761717627,0.226972108,0.69500623,0.25572702,2.292149909,0.445221892,1.725773986,0.847614612,0.17367967,0.184570009,2.921882488,1.671737556,0.400364229,0.430940286,0.109748525,1.009883059,0.172817023,0.368254577,0.150470868,0.13510297,0.356177514,0.385986773,0.441581289,0.194815275,1.509249497,0.281318892,5.685037861,0.780504169,0.276430557,c-CS-m
0.386086771,1.52436418,2.017983547,0.18438769,1.279600342,0.730246795,1.926426587,0.255343022,0.291276067,0.108303056,0.757030802,0.230246795,0.677348383,0.259613545,2.283336522,0.467667878,1.731872967,0.856165847,0.173904725,0.190532165,2.944136216,1.663549904,0.399846949,0.423187297,0.108196196,0.996847617,0.175722212,0.363879855,0.145330199,0.133361829,0.36808877,0.381002487,0.435776875,0.200737337,1.501243543,0.28171035,5.622058542,0.785154008,0.256648173,c-CS-m
0.290679519,1.612382051,2.132754174,0.161767701,1.19876451,0.61707615,1.700563438,0.251103116,0.296728655,0.103183762,0.746979775,0.207004208,0.583276775,0.259535768,2.152300801,0.477670694,1.566852179,0.760233521,0.179448894,0.185323468,2.500203611,1.484624262,0.385638659,0.410614904,0.119883239,0.990224696,0.176462604,0.366770734,0.14065576,0.147444165,0.362970001,0.37708701,0.391690992,0.184169439,1.419709515,0.313831953,4.97950319,0.734491652,0.398534003,c-CS-m
0.309345015,1.645807259,2.013696791,0.16020025,1.206994855,0.617429838,1.839730218,0.25177305,0.286961192,0.104783757,0.691956493,0.192157916,0.550960118,0.250704982,2.134013697,0.483416141,1.480059084,0.768112919,0.174835504,0.188221388,2.456559688,1.534835211,0.367530549,0.398549752,0.119524406,0.997774997,0.173626964,0.35155096,0.141983034,0.140314282,0.355310863,0.363502081,0.434153803,0.185718259,1.35987646,0.277964281,4.718678663,0.702699073,0.393447026,c-CS-m
0.332367081,1.634615385,1.968275306,0.162330317,1.12344457,0.62817583,1.816388575,0.244485294,0.289823901,0.106476244,0.674418605,0.195187525,0.566339562,0.250840167,2.14128243,0.495899987,1.538244388,0.77969457,0.179728458,0.183823529,2.467132679,1.507777149,0.36940449,0.391047184,0.120687217,0.920178167,0.176233365,0.347224089,0.13956448,0.140766403,0.357171663,0.363892996,0.439833145,0.186792986,1.447909665,0.26683694,4.807635435,0.704395752,0.382578304,c-CS-m
0.266857376,1.773845525,2.01257071,0.145565999,1.03228443,0.573695789,1.528483858,0.238005721,0.299654305,0.097834083,0.757542426,0.195788812,0.509899434,0.261470773,2.012413576,0.497485858,1.494814582,0.70224765,0.186046512,0.181610135,2.288812068,1.338782182,0.395977373,0.405562539,0.117041275,1.028769922,0.184003771,0.360307982,0.142787086,0.156681651,0.359522313,0.37115022,0.406293421,0.177033102,1.364236329,0.277655563,4.473130107,0.693117536,0.465116279,c-CS-m
0.288607595,1.795780591,1.85703317,0.147848101,1.152067511,0.564035627,1.652658228,0.241434599,0.283015971,0.099493671,0.695178133,0.18980344,0.501074939,0.250614251,2.007985258,0.48955774,1.409398034,0.681940928,0.171836609,0.182869198,2.281173219,1.386075949,0.360718673,0.375460688,0.116877637,0.943544304,0.179668305,0.338298526,0.140168776,0.155611814,0.360718673,0.358875921,0.382531646,0.174599156,1.316646192,0.256449631,4.268734644,0.676597052,0.44041769,c-CS-m
0.294112569,1.805248619,1.822070766,0.150120856,1.107907459,0.538428074,1.834599448,0.236015193,0.266966357,0.105145028,0.636890951,0.180684455,0.476653132,0.230423434,1.861513921,0.464472158,1.341792343,0.710808011,0.170388631,0.178522099,2.139211137,1.404178177,0.326566125,0.351218097,0.11386395,0.94690953,0.167778422,0.312064965,0.137776243,0.152710635,0.328886311,0.337006961,0.435687155,0.167472376,1.252030162,0.242604408,4.063950116,0.635585847,0.421693735,c-CS-m
0.24977518,1.926596223,1.783249243,0.14006295,0.930980216,0.499293643,1.516861511,0.244829137,0.324117053,0.09330036,0.742078708,0.188092836,0.455499495,0.257719475,1.717860747,0.493037336,1.355398587,0.637927158,0.198385469,0.171088129,1.922906155,1.288669065,0.335418769,0.380423814,0.13995054,0.970323741,0.188092836,0.358627649,0.12443795,0.188848921,0.392129162,0.368314834,0.414793165,0.175584532,1.248234107,0.283753784,3.598587286,0.636730575,0.505751766,c-CS-m
0.275416952,1.902901531,1.756132171,0.144505369,0.899017592,0.513277924,1.613548092,0.250628284,0.290289884,0.094356865,0.693087371,0.185282789,0.461179809,0.266166633,1.724508413,0.509831745,1.297993108,0.662097327,0.196229475,0.183801691,1.957834989,1.326707791,0.346036894,0.418812082,0.126799178,0.940370117,0.193796878,0.341374417,0.128169979,0.184601325,0.362659639,0.3794851,0.385423806,0.173292209,1.231096696,0.271234543,3.66105818,0.635313197,0.513277924,c-CS-m
0.287319612,2.001656021,1.690812721,0.142299503,0.967707594,0.499411072,1.722971374,0.249704282,0.27718885,0.098414952,0.666274048,0.190223793,0.447192776,0.243423636,1.672555948,0.492343934,1.250098155,0.675065058,0.197879859,0.17411876,1.887711033,1.30305181,0.323125245,0.368080094,0.124201561,0.911521173,0.204358068,0.330977621,0.135557133,0.191861841,0.344719278,0.361405575,0.442394133,0.180151408,1.20691009,0.26442874,3.466627405,0.615822536,0.501570475,c-CS-m
