,Neuron1,Neuron2,Neuron3,Neuron4,Neuron5,Neuron6,Neuron7,Neuron8,Neuron9,Neuron10,Neuron11,Neuron12,Neuron13,Neuron14,Neuron15,Neuron16
F1,-0.14454487,0.3844063,-0.3362938,0.24675089,-0.15996227,0.24559638,0.5572168,0.46920148,0.13946787,0.062244203,-0.003013134,-0.08909398,0.07768372,-0.27138034,0.21828595,-0.34842014
F2,-0.062744886,0.17926306,-0.21455078,0.28544962,-0.35963288,-0.09279752,0.46164453,0.52790284,-0.278022,-0.2431639,-0.20787649,-0.30319434,-0.1393497,0.24528536,-0.20806016,0.08614877
F3,-0.23955375,-0.15778166,0.10932013,0.17679453,-0.2857084,0.3184398,0.19782335,0.18874185,-0.037147015,-0.116472654,-0.067851454,-0.2917033,0.2942492,-0.24348539,-0.31452003,-0.004352957
F4,-0.2049846,0.11964761,0.20092414,0.18036216,-0.34614143,-0.08557513,0.05012206,0.40540472,-0.2000301,-0.23185816,-0.21577273,-0.27238744,-0.30370116,-0.25882444,0.030260652,0.14706871
F5,-0.22064757,0.10854565,-0.009466261,-0.15135795,-0.03425023,-0.3193155,0.27131087,0.6036114,-0.14719109,0.050435632,0.3475488,0.2936612,-0.23256491,0.024284571,0.25415257,0.054961026
F6,0.19315925,0.30647042,-0.4668398,0.25560638,-0.21520813,0.013929486,0.25682,0.05318147,-0.12945673,0.12756602,-0.34275037,0.2009094,-0.11552286,0.06279528,-0.2667813,0.009280503
F7,-0.11266473,0.17532404,0.1039878,0.35080194,0.19489834,-0.014970779,0.102178656,-0.26189035,0.1432049,-0.13699056,-0.23204586,0.30641654,0.10159305,-0.08768743,0.19217053,-0.28912124
F8,0.051333517,0.40547195,-0.16538088,0.33404008,0.117892355,0.29890278,0.30205277,0.050592728,-0.29053786,0.011047002,-0.26258427,0.3264732,-0.10021335,-0.22654442,-0.050034523,-0.038138807
F9,-0.2506134,-0.19062968,-0.14140832,-0.031702306,-0.21325153,-0.044912994,0.25031686,0.66810393,-0.16147275,-0.6423741,-0.24215591,-0.24665454,-0.32120776,0.13540465,-0.14491142,0.11691296
F10,0.111174494,-0.30966118,0.13710101,0.1989746,0.31913897,0.33865204,0.0003822664,0.5706451,0.3026351,-0.5789018,-0.1242515,0.19030997,-0.20840424,0.045122564,-0.09113443,0.1993396
F11,0.011007279,0.22191867,-0.1396298,0.3466163,-0.11986376,0.35462674,0.39258826,-0.032389883,-0.10709441,-0.039586548,-0.26435214,0.103088796,0.33045486,0.22646186,0.28828385,0.29574993
F12,-0.09523854,0.12564392,-0.44803128,0.24888381,-0.11282523,-0.093027145,-0.093302205,0.71376246,-0.26450646,-0.056329995,-0.19645678,-0.2768605,0.2781684,0.048965335,-0.3160742,0.028636664
F13,0.16744217,0.10644157,0.012119794,0.49920735,-0.13227044,-0.3404496,0.25417027,-0.26540285,-0.26823494,-0.20059541,-0.14384748,-0.27115834,-0.3468424,-0.033824682,-0.020824462,0.09234613
F14,0.020590007,-0.089930184,0.10773736,0.34454936,0.023929477,-0.0760929,0.36526504,0.24238558,-0.03407964,0.15028362,0.2947764,-0.032069385,-0.036195815,0.018190026,0.16920295,-0.21106967
F15,0.069725305,0.2744906,-0.39942834,0.15739325,-0.113631964,0.017588675,0.060826994,0.16024247,-0.17013155,-0.6357763,0.14892319,-0.22394736,-0.10529116,-0.12962662,-0.12944916,0.27795538
F16,0.16697446,-0.14429313,-0.14709958,0.013444306,0.09669626,-0.1848984,0.32572696,0.465493,0.3114387,-0.20453136,-0.2224348,0.07752082,-0.09156677,-0.21800867,-0.29761627,0.17718843
F17,-0.23280059,0.013169733,0.17002931,0.2509122,0.06823316,-0.025046885,-0.12943326,0.6011321,-0.100978255,0.028332105,-0.04593748,0.34075418,-0.12730303,-0.24170661,-0.16139999,-0.14402892
F18,-0.26729614,0.34069595,-0.2681406,0.19756645,0.007641107,0.11535987,0.31641164,0.65203726,0.079639554,-0.29506657,0.1568329,-0.0858933,-0.10629231,-0.15102723,-0.1790844,-0.24375327
F19,-0.118624866,0.068958804,-0.3957232,-0.041585356,0.17335305,-0.060987115,0.056510452,0.32653362,0.26647112,-0.49295634,0.043045074,0.33652416,0.008948714,-0.2639811,0.19189951,-0.07477701
F20,-0.013641804,0.28354028,0.20149511,0.09296724,0.3212563,0.29929885,0.22185963,0.7213064,-0.2515592,-0.6506165,0.2790301,-0.17531061,0.09442812,-0.21212164,0.024966717,0.18422875
F21,0.31790188,0.41631016,-0.3103781,0.3729013,0.24562374,-0.05649492,0.35406733,-0.11892158,0.07192972,-0.067473724,-0.18137768,-0.025893062,-0.17460538,0.1288681,0.069821656,-0.032538325
F22,0.34410742,-0.21709664,-0.3905092,0.018747605,0.13382268,0.04165238,0.22025819,0.2655965,0.21578452,-0.24757004,-0.029130071,-0.09233287,-0.033979,-0.17625932,-0.20227681,-0.020075768
F23,0.14845851,0.3549823,0.18115644,0.49278688,0.15304181,-0.30217037,-0.039317004,0.08959321,-0.04125783,0.08171532,-0.2153887,-0.33333367,-0.20636919,-0.20362093,0.20815977,0.105406106
F24,0.04181987,0.39566123,-0.20685108,0.43913907,-0.076707184,-0.21111616,0.38897288,-0.16160502,-0.018246263,0.21528065,0.04585749,-0.02621001,0.11407101,-0.12680198,-0.18905117,-0.15663053
F25,0.041097254,-0.13397834,-0.3303435,0.31514287,0.03844714,0.05450207,0.49958315,0.3783436,-0.0054360926,0.097207226,-0.10645515,-0.24885312,0.048314124,-0.100485444,0.08654651,0.19686386
F26,0.144743,-0.039565172,-0.4506785,0.15797675,-0.14965564,-0.27026019,0.41928846,0.3844341,-0.07887173,-0.4308899,0.35088703,0.098516285,-0.12545742,-0.21236764,0.29200074,0.030418217
F27,-0.2892089,0.23537709,-0.21277052,-0.12657696,0.022014707,0.35669002,0.3696805,-0.07845096,0.26673755,-0.052659288,0.3596799,0.12304014,0.19389811,-0.21989225,0.2322,-0.17818381
F28,0.15824988,-0.09041267,-0.24480289,0.24571072,0.14180496,-0.015339136,0.3677246,0.013359481,-0.11646074,-0.36403543,-0.17616065,-0.068831354,0.072680056,-0.23485932,0.26004794,0.3515806
F29,0.020937085,-0.01792761,-0.4199211,0.51700264,-0.034550816,-0.23293336,-0.048948955,0.44398773,0.10249132,-0.19654079,0.30142203,0.14301035,0.32567587,0.031207025,0.28550556,-0.32199746
F30,0.20462683,-0.06978097,-0.18809871,0.105745114,0.12756455,-0.049101382,0.118914016,0.29035845,0.21756425,-0.31403476,0.30238685,-0.091216326,0.30547068,-0.07250312,-0.33933333,-0.21634698
