,Neuron1,Neuron2,Neuron3,Neuron4,Neuron5,Neuron6,Neuron7,Neuron8,Neuron9,Neuron10,Neuron11,Neuron12,Neuron13,Neuron14,Neuron15,Neuron16
F1,0.25872543,0.24548812,-0.10205534,0.3250343,-0.34448567,0.11003193,0.43514058,-0.16366205,0.017183363,0.09444964,-0.29873633,-0.07340751,0.33662316,-0.19456562,0.0021282136,0.25817096
F2,-0.3475564,-0.12944724,0.010286897,-0.31317797,-0.37466294,0.2513415,0.34630552,-0.15705138,0.25969532,-0.26908076,-0.027241826,0.0086385105,0.048172563,-0.4946348,-0.20969334,0.35645795
F3,-0.2817802,0.0889329,-0.16968009,-0.27374208,0.12854558,-0.22945018,0.22993733,0.18998682,-0.3303647,0.045965105,-0.11981641,-0.116426535,0.32830772,-0.22704706,0.022731394,-0.10501866
F4,-0.27244487,0.32281798,0.08408737,0.005746424,-0.37759426,-0.27471173,0.36885172,0.42348006,-0.049225897,-0.13452463,-0.337279,-0.3662052,0.18712565,0.22711737,-0.089580566,0.31077462
F5,-0.13284013,0.27901912,-0.13342454,-0.05528575,0.21160771,0.23647776,0.17289643,0.29500726,0.2548314,-0.1982093,0.097853094,-0.33238325,0.32801762,-0.11865946,0.043759316,-0.227171
F6,-0.21803536,0.45067537,-0.32454732,-0.13328701,-0.23313563,-0.24784583,0.36955762,0.34716636,0.0907245,0.026098669,0.03268704,0.120108195,-0.013290912,-0.34807798,0.2887,0.0045662876
F7,0.21890745,0.41225925,-0.08581555,-0.3171735,0.2847625,0.23776749,0.22075738,-0.031410206,-0.21579641,0.17895845,-0.3272348,-0.13230203,0.28130224,0.058880303,-0.22395562,0.3147642
F8,-0.021412581,0.4386396,-0.021674007,-0.13034768,0.26574135,-0.2866219,-0.06130859,0.057749175,0.012281984,-0.30232975,-0.32135192,0.27715698,0.27733317,-0.054356914,0.26168188,-0.070614114
F9,0.08849761,-0.15694883,0.20132205,-0.16309956,0.039691206,0.06502664,-0.117257826,-0.3037604,0.010257274,0.080595076,0.3097554,-0.23714465,-0.29643995,-0.50504225,0.03053841,0.26354823
F10,0.21735707,0.13299212,0.018949568,0.3590993,-0.17309763,-0.09646246,0.08313148,0.32015246,-0.2821013,-0.074810684,-0.17887637,-0.3672745,0.2258794,-0.52056617,0.24113461,0.21393825
F11,0.05333361,0.18209228,-0.30159077,0.27156487,0.30916592,-0.33095238,0.4267562,0.15158273,0.21750656,-0.21984464,-0.1742669,0.005797196,-0.060323745,0.07309108,-0.16663001,0.5086692
F12,-0.008268148,-0.13842648,0.19296607,-0.33480203,-0.11076795,0.35491422,-0.32198822,-0.33422148,-0.15227422,-0.06912643,0.00019028783,-0.30601218,-0.13567519,-0.5126234,0.041739345,-0.37202027
F13,-0.04524347,0.28751636,0.31596175,0.26355806,-0.17958742,-0.010999441,0.36367065,0.28783864,-0.22028188,0.00785172,0.032779515,0.12280136,-0.22398688,-0.11036913,-0.3501892,0.0849462
F14,-0.049600124,0.38633072,0.0154787,-0.30669045,-0.35611004,0.18271515,0.009125309,-0.0023138146,0.050864756,-0.22791739,0.09327918,-0.12383008,-0.03963414,0.007061055,0.1644294,-0.07800676
F15,-0.11359106,-0.05236626,0.1019856,0.10229945,-0.11113709,-0.2516298,-0.17213705,-0.01590625,0.11175114,-0.12516518,0.11882627,-0.23955077,-0.18720779,-0.25689083,-0.25244513,0.056129605
F16,0.14630511,-0.012068669,0.0053420663,0.28081873,0.21964242,0.19098088,-0.09447001,0.23480299,0.23956737,-0.20254253,-0.051787913,0.017211182,-0.062949836,-0.5042314,0.26985356,0.38151217
F17,0.06963223,-0.20462441,0.15605286,0.09643328,-0.2042677,-0.041663826,0.31763783,0.06702742,-0.33276063,0.017981142,-0.10266197,0.10680414,0.29886022,-0.35798487,-0.28272876,0.24261795
F18,-0.08427304,0.45893487,0.18525282,0.32349518,-0.29822364,0.24322525,0.20231125,0.08122919,0.068554014,0.104575425,0.20351836,0.06846965,-0.1345514,-0.08236048,0.10096249,0.08684541
F19,0.15028307,0.0122733675,0.2679346,-0.042708308,-0.020176625,-0.18556005,0.13446797,-0.14039475,0.30129132,0.17376587,-0.3498143,0.18993172,0.10986662,-0.3472987,0.070812315,-0.15803128
