feature,max_weight_score,avg_weight_score
F10,0.12818132,0.045979053
F5,0.11438108,0.048791222
F6,0.1136424,0.040898286
F28,0.112355724,0.044118278
F14,0.1102185,0.044987824
F25,0.109802626,0.044447042
F1,0.107261725,0.04405991
F17,0.10618667,0.038550805
F15,0.10446316,0.042722426
F3,0.10360144,0.043385245
F21,0.10047473,0.040143102
F9,0.0997613,0.03751941
F22,0.099541835,0.04575768
F19,0.0985428,0.037553947
F20,0.09735681,0.040957633
F8,0.0955933,0.028122962
F23,0.09528296,0.034035582
F30,0.093736924,0.05207339
F7,0.09100378,0.035491735
F27,0.089969926,0.045094714
F29,0.08982731,0.0393836
F18,0.08968729,0.03965857
F26,0.08953424,0.038233623
F11,0.08823588,0.037715126
F2,0.08509053,0.04594365
F16,0.08333507,0.038334273
F12,0.083289646,0.039453834
F4,0.08208689,0.03380303
F13,0.07438791,0.03480405
F24,0.07276558,0.032584004
