,Filter1,Filter2,Filter3,Filter4,Filter5,Filter6,Filter7,Filter8,Filter9,Filter10,Filter11,Filter12,Filter13,Filter14,Filter15,Filter16,Filter17,Filter18,Filter19,Filter20,Filter21,Filter22,Filter23,Filter24,Filter25,Filter26,Filter27,Filter28,Filter29,Filter30,Filter31,Filter32
F1,0.04295111,0.07981666,0.002429212,0.04054019,0.049422037,0.027554601,0.051482983,0.045559186,0.039775223,0.07525651,-0.05832408,0.002912984,-0.0077426406,0.01810952,-0.04133386,-0.04233374,0.020654516,-0.010388305,-0.096793994,-0.028585508,0.0065380316,0.08263692,-0.07142672,-0.022714997,-0.011263621,0.014969414,0.04568305,0.0986752,-0.021202939,0.042129103,-0.03996187,0.039223555
F2,0.0058990214,-0.06392172,-0.021908902,-0.031933207,-0.07640316,-0.069489606,-0.024182783,-0.020303516,-0.04051029,0.102092214,0.06960668,-0.021994347,-0.022911297,0.07473201,-0.06749164,-0.022037456,0.080135725,-0.07537701,-0.045869507,0.021742588,-0.0587945,0.073480375,0.06709514,-0.059216253,0.036803473,0.059033617,0.034771267,-0.012787171,0.059809793,-0.034723233,-0.022800116,0.035682343
F3,-0.046290696,0.048746664,-0.015761714,-0.071036756,-0.07280195,0.03191673,0.013098676,-0.011306719,-0.06166304,0.02064273,-0.06722759,0.022845766,-0.046664074,-0.06808317,0.080898516,0.07825699,-0.0045278454,0.06513202,-0.08244969,0.057930887,-0.063111536,0.092070326,-0.03585891,0.034314685,-0.043496262,0.05581053,-0.09397218,-0.08305576,0.013176049,0.06745025,-0.0734615,-0.032156367
F4,0.05517672,0.08818326,-0.010587204,-0.032086108,0.022294596,0.08051825,-0.066276446,-0.049745247,0.0056867623,0.0030074506,-0.06585369,-0.06659405,-0.047424298,-0.013754359,-0.03942862,-0.06656284,0.017083382,0.07209862,0.031646047,-0.06541886,-0.106643505,0.014856258,-0.031219043,-0.037813727,-0.08955896,0.0095670475,-0.05332219,-0.016332807,-0.023327045,0.07090619,-0.06318108,0.06076371
F5,-0.08754339,0.02806806,0.033820476,-0.037682008,0.054327354,-0.08988912,0.029880477,0.020892592,0.08079375,-0.0434093,-0.03461842,-0.07469085,-0.02417729,-0.0658982,0.0004579255,-0.0004131681,-0.07512614,0.012050454,0.08351575,-0.009748203,-0.04009897,0.062223595,0.095062174,0.033818778,0.0075484607,0.04031181,0.023873456,-0.052197825,0.044580244,-0.052704066,0.026718078,-0.066081725
F6,-0.031557288,-0.07334259,-0.01765939,-0.052723695,-0.07252175,-0.05508611,-0.018799642,-0.005553549,0.0070086513,0.02233738,0.007989415,-0.06467955,-0.007153289,-0.06819647,-0.008125585,-0.03004908,-0.0744236,-0.059447423,-0.0044351565,-0.060677335,-0.076921836,0.062044017,-0.041172158,0.032114547,0.00146126,0.0025418622,-0.0035210808,-0.09965356,0.032869276,-0.021253021,0.07760421,-0.07115153
F7,0.09148935,-0.012271216,0.070670806,-0.05086511,-0.07154008,-0.05687479,0.0056611486,0.061370168,-0.01689379,-0.035040617,-0.025644138,-0.03486028,0.054701503,0.0043028533,-0.017026298,-0.0025286593,-0.042538524,0.07332381,-0.06390755,-0.08326676,-0.028640544,0.03196214,-0.03712724,0.055940412,-0.029609516,0.018741691,0.009708499,0.00023043196,0.0012819101,-0.01753198,-0.019363096,0.010559979
F8,0.010955501,0.014576558,0.039997768,0.012294041,-0.050285757,0.040402904,-0.017526373,0.05023521,-0.03954583,-0.038133442,-0.027806114,0.030273985,0.0011857518,0.049158365,0.011102663,-0.029624179,0.045331746,0.014117807,-0.10288888,-0.021041313,0.005460104,0.04514227,-0.07763645,-0.005160079,0.055253647,-0.060872387,-0.05471191,0.07935072,-0.0031877588,0.041494466,0.001959983,0.09099606
F9,-0.0030444046,0.044753857,-0.07504938,0.003024255,0.027542926,0.017580722,-0.046274997,0.032550108,-0.013408981,-0.0070181494,-0.027730947,0.033192616,0.032358255,-0.023269605,0.028117316,-0.058492746,-0.026916973,0.02920396,0.07284729,0.030601664,0.019413194,-0.0035254748,0.053559214,0.0053730845,0.07904533,0.010373344,-0.063345745,0.06350052,-0.030299872,0.002944374,-0.021178402,0.04573557
F10,-0.036623042,-0.0893677,-0.060010236,0.07474956,-0.01751308,-0.06888457,0.04982254,0.060136195,0.013473995,0.034299873,-0.031156685,0.015587526,0.059213918,-0.051452164,0.010231369,-0.02969357,-0.053211533,-0.08329972,-0.05610967,0.008337648,0.045325413,0.05877711,-0.00660502,-0.0928104,-0.03923533,0.024269344,0.08124421,-0.044796813,-0.07380075,-0.011637547,0.020073535,0.079353146
