feature,weight_list
F1,"[0.2223659090244986, 0.1229110473839374, 0.060942838831557815, 0.38941535290020296, 0.1333392120125275, 0.2931107325024647, 0.019317017140460666, 0.11329165979771184, 0.22945921166291874, 0.08916196421633148, 0.3216835902622025, 0.09854915696128179, 0.21427658012913162, 0.046737459204118884, 0.2276869269228605, 0.028630064720869708]"
F2,"[0.33270088975698425, 0.041490989517093235, 0.10147970508790827, 0.24596504615851744, 0.2623286102974625, 0.3677633315996994, 0.06794239622004829, 0.14231581254348402, 0.09641311301362368, 0.359613570572762, 0.20141144030613878, 0.12176286591120901, 0.08157874474714541, 0.23582381853103004, 0.047334917975766014, 0.05459430175286245]"
F3,"[0.19633407296085068, 0.010892427865428655, 0.016404982944810357, 0.09817811733457045, 0.2157508087341983, 0.027855730581395805, 0.17152692155193944, 0.14909011647741657, 0.5014168149078937, 0.11072566832654251, 0.17947615135481423, 0.057757989946887744, 0.22335638042583297, 0.010682216772259577, 0.2417956682230088, 0.312697668212388]"
F4,"[0.22850608447299714, 0.19690449034157342, 0.16331170030585734, 0.09431253299492953, 0.19372581272101475, 0.028504661026541884, 0.1296350808459482, 0.2291076485963769, 0.27981695455681616, 0.2962681320326683, 0.38355644999291233, 0.11870958277394744, 0.13144026182314267, 0.15420866213329829, 0.15012326307357943, 0.05200024466842626]"
F5,"[0.1220354003589202, 0.12226771448717534, 0.18874830961410852, 0.09765820442842847, 0.15933903426996168, 0.23632661858091164, 0.003728369284750137, 0.15778102761018772, 0.035699725904563454, 0.032086992648009814, 0.1372891597176521, 0.11332306556489805, 0.24908530956003846, 0.23737579896739844, 0.17697890793381382, 0.34051904458440707]"
F6,"[0.15185656794478816, 0.3449851113584809, 0.36124171472617994, 0.21218341551410985, 0.2737042299109601, 0.10049706234638581, 0.1651721384472824, 0.08701226761215132, 0.07078484775587215, 0.08341571230536371, 0.04720791889220409, 0.1757514422784518, 0.025533018218452146, 0.2612288005274004, 0.3618780643461144, 0.18645682575915448]"
F7,"[0.20752950102952086, 0.29057756277877406, 0.1425739922594084, 0.268990085763912, 0.23979181505179453, 0.2752436133499691, 0.154613008527499, 0.16182616767582972, 0.2998945965045887, 0.09548676198811601, 0.24497095512972386, 0.05704112621538858, 0.25855001557602314, 0.02167353521603953, 0.04886510664358264, 0.026741988997766468]"
F8,"[0.014292480312692925, 0.30103208043460594, 0.08729555295079185, 0.10389376003371306, 0.2493434425392812, 0.033518846143937325, 0.43561037596168284, 0.0913554137116143, 0.22087535567057348, 0.27172623457032313, 0.2641364741480111, 0.3583063569132217, 0.2592404696856569, 0.02655380069279257, 0.47344490204691, 0.41366614831777465]"
F9,"[0.04488668734409868, 0.03881564186639222, 0.04822796849598443, 0.2863314533891323, 0.1292529418508288, 0.10373624469883459, 0.1396108329337724, 0.36264380299065346, 0.12475354253780715, 0.10949695223021187, 0.20242780452698442, 0.007268183859834839, 0.0635169080902018, 0.2698422336731316, 0.20135992985838552, 0.07905380179823587]"
F10,"[0.17898887295949714, 0.10159496201170239, 0.10078153122046911, 0.10476195293147522, 0.29892484246580925, 0.24880936189563116, 0.16216095828347613, 0.07142944520148786, 0.21306030518332955, 0.11756511054021994, 0.09003521786639754, 0.29103623245984234, 0.23981890889331167, 0.24168877039830577, 0.012475181114363822, 0.24966314908377624]"
F11,"[0.06402721429494088, 0.1909923590427896, 0.27175102207999224, 0.09687078350014013, 0.07948879943193894, 0.003306655107303251, 0.055609929365667964, 0.14092585893693108, 0.027723320030437343, 0.3205336166629058, 0.30174722525979447, 0.1292371881895336, 0.07735553084397168, 0.2977100711561343, 0.0632577061769915, 0.05916924718737842]"
F12,"[0.0018892979971692242, 0.07019097702722334, 0.061102854312523436, 0.2572307250164302, 0.08834726796713481, 0.138420465798082, 0.16267067296323653, 0.2018533085224412, 0.004966925942646723, 0.023351290036850898, 0.024517532078010662, 0.2540454665238018, 0.030414067410228313, 0.29170610194253804, 0.026958713756135386, 0.14124060606778985]"
F13,"[0.06640553902280392, 0.22518745631554368, 0.15275244666993462, 0.09224995397198696, 0.2680014247001394, 0.1083147959575562, 0.036453702555606156, 0.04192336068155312, 0.25946339384526085, 0.04309607243051388, 0.09985987386865595, 0.14979949954820618, 0.03642303770123567, 0.4009429636165688, 0.13175521343732585, 0.13583243343355325]"
