feature,feature_name,avg_weight_score
F4,Feature4,0.23947297
F29,Feature29,0.22899781
F2,Feature2,0.2252153
F7,Feature7,0.22137797
F10,Feature10,0.21911396
F11,Feature11,0.215823
F12,Feature12,0.211626
F21,Feature21,0.20415409
F1,Feature1,0.20374301
F6,Feature6,0.2030315
F23,Feature23,0.19966725
F30,Feature30,0.19499448
F5,Feature5,0.1948402
F20,Feature20,0.19463985
F27,Feature27,0.18684131
F26,Feature26,0.18604785
F28,Feature28,0.18330497
F16,Feature16,0.18213043
F13,Feature13,0.18172385
F17,Feature17,0.1812337
F3,Feature3,0.1804833
F9,Feature9,0.17930785
F8,Feature8,0.17878759
F24,Feature24,0.17471808
F18,Feature18,0.1704239
F22,Feature22,0.16716307
F19,Feature19,0.16591318
F25,Feature25,0.14614047
F15,Feature15,0.1418137
F14,Feature14,0.1308367
