feature,feature_name,max_abs_weight_score
F16,feature_16,0.5600976157700442
F23,feature_23,0.5259399389339525
F21,feature_21,0.5112904241081019
F3,feature_3,0.5014168149078937
F8,feature_8,0.47344490204691
F28,feature_28,0.4652933544349488
F27,feature_27,0.43309522997923716
F13,feature_13,0.4009429636165688
F14,feature_14,0.39146933892014324
F1,feature_1,0.38941535290020296
F4,feature_4,0.38355644999291233
F18,feature_18,0.3740376934601992
F26,feature_26,0.36952348705310534
F2,feature_2,0.3677633315996994
F24,feature_24,0.3653922840557267
F9,feature_9,0.36264380299065346
F6,feature_6,0.3618780643461144
F25,feature_25,0.35927095672771653
F5,feature_5,0.34051904458440707
F29,feature_29,0.3338144377816158
F22,feature_22,0.32694409339583475
F30,feature_30,0.3245404751795279
F11,feature_11,0.3205336166629058
F17,feature_17,0.3144648268847028
F7,feature_7,0.2998945965045887
F10,feature_10,0.29892484246580925
F12,feature_12,0.29170610194253804
F19,feature_19,0.26899528538661643
F20,feature_20,0.2553939808074947
F15,feature_15,0.21493983429978933
