feature,weight_list
F1,"[0.06353741419398778, 0.015553672685574074, 0.14103721049581375, 0.16826545310032265, 0.169174320461194, 0.40243943806593807, 0.27919071873072115, 0.015653862684046345, 0.05910092370370735, 0.1074697240189946, 0.017729850141262833, 0.03208942900960376, 0.08347935229543789, 0.02857951607735945, 0.1250783756556493, 0.12069369113478721]"
F2,"[0.21897558447555537, 0.2467567198056113, 0.21991776732012003, 0.29506916612478123, 0.07815659280689481, 0.19569926382846614, 0.44210730462560915, 0.07703694745101754, 0.13966735914937478, 0.07772720772459525, 0.02762810798321706, 0.10937833557151036, 0.22944581586105975, 0.13084423008796509, 0.1355435040116772, 0.054849032625364294]"
F3,"[0.00828506022818872, 0.039628865749592145, 0.15260629149224703, 0.10020736154719231, 0.013975019493721636, 0.1927045421078049, 0.2694213562209748, 0.031426390257477836, 0.04108809162738493, 0.16172756227449395, 0.31691198516365326, 0.043814957130890266, 0.07681292950127985, 0.38174268251903426, 0.11869844555551141, 0.2958940878155782]"
F4,"[0.25174882529796744, 0.26956714971077683, 0.003329708840243406, 0.05490366794663286, 0.05962787110641268, 0.012100016559334749, 0.14965640922398632, 0.040685269675913106, 0.12361851725528515, 0.09523783009617916, 0.2413615909249274, 0.05460587695989762, 0.08525372708476525, 0.1434684678846567, 0.344724693308766, 0.24297890238389855]"
F5,"[0.021523287430721627, 0.0021400514307980656, 0.029993961083523767, 0.2006775429715573, 0.41828141811640385, 0.11985063035360187, 0.09625008984138243, 0.28216055575660726, 0.0009569677158036096, 0.22712835823755378, 0.029396774040325663, 0.10839655296661412, 0.29412923396322543, 0.34122133844075947, 0.05562487582838594, 0.09367558782500449]"
F6,"[0.06163564122169741, 0.027913373813054337, 0.15901228661704805, 0.13990045326310388, 0.23981273084430216, 0.0255335152078713, 0.04956030861793638, 0.15755058498491187, 0.02052084223963872, 0.3662883368476479, 0.26175347357301637, 0.31531895588658226, 0.04680987878363041, 0.10411253673844698, 0.03757897378191382, 0.12221760058029034]"
F7,"[0.28817141062044827, 0.16490743699927782, 0.04251201792394258, 0.12411306632282752, 0.3421916665188192, 0.02629888549239546, 0.07058282629447325, 0.33007133640858327, 0.2713530236155805, 0.23402478161192394, 0.02840259443391882, 0.011342580037053284, 0.14223849843319206, 0.0023097722987697584, 0.09406437545582386, 0.3961775929816721]"
F8,"[0.17566431278299047, 0.0437620178503117, 0.17562386853060497, 0.08579585031495585, 0.26509088457507796, 0.18668942838944366, 0.29313450736784447, 0.13899867012956532, 0.11112321354571993, 0.3837200799274448, 0.07543415071285195, 0.10702493293921005, 0.2961692902298062, 0.11452942600036996, 0.2041388405506343, 0.2049141916062551]"
F9,"[0.00990516659752031, 0.19528240839401226, 0.03979074387040175, 0.14836108613801324, 0.30082526025295053, 0.031022266873162983, 0.13304213025873554, 0.0653262984961169, 0.19919214375233155, 0.21600868104966314, 0.207422844276735, 0.08242944960648585, 0.367529521901473, 0.1928130185564317, 0.03815615922911432, 0.24172109281318244]"
F10,"[0.026714952985742314, 0.1462983678356427, 0.10993815317269666, 0.16725693858962268, 0.07321097427658584, 0.2374792645040463, 0.2026865461266405, 0.07432295643470745, 0.11551444076412458, 0.005729203351580091, 0.06039240206612973, 0.0076540947406645845, 0.07981966341863858, 0.15786054626370535, 0.05563541693997497, 0.056540110854164646]"
F11,"[0.0286134436291662, 0.16831085568447796, 0.017557540860680617, 0.3114350364988241, 0.06809414674273058, 0.4429899978655473, 0.25797995732314216, 0.009047952029493172, 0.16616141414549043, 0.10128327381189398, 0.09779156751547477, 0.013782805324671629, 0.041506862898281344, 0.07486730672937894, 0.046759900448622625, 0.13917641110885878]"
F12,"[0.05266193885738954, 0.07318126787052358, 0.19609866631384978, 0.034919811248010045, 0.19952296625247504, 0.08389059942355218, 0.23699006858773367, 0.20750143148329148, 0.31681680710968574, 0.2729606265570849, 0.1405444616542809, 0.18723289490803868, 0.32028905773450805, 0.11377280012170862, 0.2480271666538003, 0.27351165698456137]"
F13,"[0.06622091341964079, 0.05908379119894324, 0.11159451096995919, 0.26898639866604596, 0.04952605015136332, 0.08581131973336227, 0.3167616779574467, 0.14354188169210982, 0.2312268158190226, 0.008719689262143965, 0.15803234888450693, 0.23256251558042612, 0.10711606612907215, 0.07839752519801374, 0.12783617249730847, 0.20754411421051822]"
F14,"[0.1159060540528369, 0.13366983910358748, 0.3216771896384466, 0.015340181730287457, 0.17177850741322345, 0.14385296341177148, 0.014374735356572995, 0.2391197721606628, 0.30234042750041823, 0.3606973125939241, 0.032067969379343565, 0.08551565270542795, 0.06876685990205465, 0.2059508640495493, 0.16909916989075238, 0.36471836242068917]"
F15,"[0.19187702673588783, 0.07403066585264398, 0.0811282894888496, 0.014896297963930317, 0.18170070699681892, 0.15078613921598175, 0.08935607711942041, 0.12956588344863895, 0.15756671804354563, 0.0013819837180071614, 0.013441474937871551, 0.3748746301465454, 0.019847030937961037, 0.11105712519645275, 0.40193693727638197, 0.24229103587450385]"
F16,"[0.1500566458819667, 0.05223704485222726, 0.19379103692602034, 0.04410183688594998, 0.16556458054596773, 0.011893085155918363, 0.09628966105227495, 0.1763297789206757, 0.0013811441527352517, 0.33285803617959003, 0.17455476470632433, 0.2880192311685859, 0.18609426501810034, 0.08690586789012752, 0.30836159054558193, 0.0942945079521853]"
F17,"[0.25690001163295406, 0.11061002697188783, 0.048179974604545865, 0.15743913623337474, 0.13076669036300195, 0.08944740091436477, 0.010607974844743025, 0.09923447960804664, 0.31421851664823824, 0.075539861645636, 0.18137378721178635, 0.3626550556815035, 0.252817919895134, 0.013932544817000363, 0.28821944000036526, 0.29695719679997296]"
F18,"[0.13016633963461224, 0.3049251428055744, 0.12197205536906058, 0.38245107979344983, 0.06164379441912984, 0.2154424668883751, 0.23431112650476663, 0.02092555146814926, 0.030062620039305737, 0.26196291144741213, 0.032144795124341104, 0.08469274739661464, 0.08405018772306562, 0.12074551183428345, 0.12941269354405519, 0.08277692195603333]"
