feature,feature_name,max_abs_weight_score
F49,feature_49,0.5720875271363309
F47,feature_47,0.5601090147319765
F18,feature_18,0.5454509884348626
F44,feature_44,0.5257994592153522
F50,feature_50,0.5159970651446248
F2,feature_2,0.5002213138041339
F77,feature_77,0.4997341939344776
F62,feature_62,0.4838802698364166
F12,feature_12,0.4776689841169667
F71,feature_71,0.46925569455336463
F36,feature_36,0.4533951070635547
F9,feature_9,0.4483209400944542
F11,feature_11,0.44341433482683457
F27,feature_27,0.44319694806305004
F8,feature_8,0.43744768879956636
F19,feature_19,0.42560167934584686
F17,feature_17,0.4107917213671197
F45,feature_45,0.40483717635664623
F23,feature_23,0.40331000710726184
F53,feature_53,0.3831982721584283
F32,feature_32,0.3828921281090405
F63,feature_63,0.37788606573381844
F21,feature_21,0.3775150036289982
F31,feature_31,0.3713258544212974
F65,feature_65,0.36910301246014005
F66,feature_66,0.3646828722940403
F7,feature_7,0.35977980794339354
F40,feature_40,0.35851000918319786
F55,feature_55,0.35655755922494636
F75,feature_75,0.3532686511247079
F22,feature_22,0.3532104765246434
F13,feature_13,0.35044535712008756
F73,feature_73,0.34591685155909896
F46,feature_46,0.3454144852769299
F26,feature_26,0.3431722521121041
F14,feature_14,0.3384793640689183
F5,feature_5,0.33731940078663514
F29,feature_29,0.33636199024900193
F43,feature_43,0.33617395824569357
