feature,weight_list
F1,"[0.23061526959737969, 0.5224651635144456, 0.504879906785102, 0.13048671196802863, 0.11945413537960353, 0.2838212568171035, 0.022718800380158752, 0.6359686762859366, 0.33450071927615593, 0.30718782282204604, 0.6624508089826109, 0.26487648364885613, 0.13544041315567124, 0.12109605353976974, 0.1281694191448478, 0.27857685339236665]"
F2,"[0.6628357044323616, 0.23730577364414424, 0.1172940160688556, 0.47186465559306084, 0.1789686529381547, 0.3820958441029236, 0.08047658498686025, 0.2686252917256071, 0.14937375719301196, 0.6279964537455422, 0.3905547291732814, 0.37201271051298607, 0.2997947557399943, 0.0062545972450073735, 0.01930446614001702, 0.08066304208732196]"
F3,"[0.639326240744087, 0.48868297714047393, 0.5307523243085326, 0.5213611523121556, 0.13807045445255695, 0.6458928292931607, 0.3819475901501788, 0.2188741733784623, 0.3547976414959213, 0.24000594029453404, 0.5477899974153908, 0.005020584659825632, 0.07005507081120688, 0.39795968986157876, 0.24312039949555891, 0.5032870480069522]"
F4,"[0.6381466326490779, 0.4448636319066172, 0.24428631572008785, 0.3572332753781891, 0.3493205563380031, 0.4751756292777869, 0.07451020665522583, 0.13003006730108663, 0.34786299072994187, 0.41437017391795994, 0.5958752231206254, 0.012186908838703943, 0.2681381890943787, 0.07403767046584012, 0.18354376250717883, 0.2631042904780288]"
F5,"[0.4620654877632456, 0.5437851448446581, 0.4200566595852354, 0.38329055774291093, 0.18367251053202222, 0.10577076184278071, 0.006740714820874722, 0.1294342813570656, 0.11812501211618866, 0.48002604100698537, 0.28535331877921805, 0.039678468370712844, 0.10858408161539333, 0.04473458333058974, 0.14736314502910378, 0.40251528009502696]"
F6,"[0.5665630161698391, 0.6479405563117022, 0.5778388833262285, 0.47588316235498934, 0.3821905461700873, 0.4576490610905775, 0.12427359659668462, 0.2037623845451706, 0.3716397562490026, 0.19279196974864865, 0.39603259050985234, 0.5070266824491496, 0.38601685584810613, 0.21563219616328488, 0.4736573643421545, 0.4845628312038174]"
F7,"[0.1915609942218098, 0.4785516129219462, 0.28186560488160967, 0.6356530146353935, 0.6016019322264083, 0.07712574774848256, 0.4671158280355673, 0.6098097216035985, 0.5800194552877155, 0.21900856105533267, 0.5356452817793202, 0.26239863782315087, 0.21002664689837716, 0.1726742230176848, 0.3572184782725171, 0.08080546101305261]"
F8,"[0.07314704601967516, 0.057339116927636345, 0.2533856349752334, 0.042716015804362184, 0.5289457045029248, 0.07255315044230017, 0.5661967814107481, 0.005994297541532342, 0.11496094996202845, 0.11712259563644196, 0.07970290176108995, 0.3630539812224155, 0.32298947756913526, 0.1104646852529298, 0.505967776153887, 0.05298456381685625]"
F9,"[0.21810393259899627, 0.17134267335779563, 0.23475464641687496, 0.4887967645741544, 0.17798025840334467, 0.4145265854689814, 0.16557220366745035, 0.7919561903568983, 0.12215553422127398, 0.3560917391178527, 0.21235889683903478, 0.12277069994410483, 0.7461286638039488, 0.48857093363183207, 0.2775316385391785, 0.0614304462870815]"
F10,"[0.26866675753017855, 0.5198294783630527, 0.3886452049938762, 0.12575685181760657, 0.35471840346430783, 0.4950892519678442, 0.034784182509960286, 0.11523535044763278, 0.5570809930555957, 0.3975124488484218, 0.5813863833869585, 0.05669260711341054, 0.22580426572860762, 0.41027159649492867, 0.05254518127831067, 0.22682309565619493]"
F11,"[0.34796856547296795, 0.3642989669590129, 0.5781388440654381, 0.17600668893657653, 0.14241349053792393, 0.6771859713533427, 0.26787345806517737, 0.4955873473492897, 0.037639821800544, 0.5736784529902076, 0.4987442553969606, 0.2797960251833459, 0.508098911105495, 0.29576293911335894, 0.33042938710528924, 0.2216515867489594]"
F12,"[0.5195663533636141, 0.3694633119059825, 0.22924006653095158, 0.7687011492201252, 0.09763838970844123, 0.0841200915805406, 0.7239289383342556, 0.7424880096795737, 0.6415077911336794, 0.6001401818676099, 0.4835700376673949, 0.3063599903506883, 0.667256461111369, 0.08177372077894655, 0.16427005452427407, 0.7924719642897817]"
F13,"[0.6339902828848153, 0.7441600286586599, 0.1785913384352485, 0.1948996754101209, 0.4687313848755248, 0.5009410002546686, 0.017349384281433494, 0.437938667573888, 0.6235840638675318, 0.4792330796280058, 0.5310761725247594, 0.5464855860800126, 0.8600830115419643, 0.5742118899372006, 0.5679613809640413, 0.7407320391788874]"
