feature,feature_name,avg_weight_score
F16,feature_16,0.047994938
F3,feature_3,0.047241732
F21,feature_21,0.046858076
F29,feature_29,0.046515875
F4,feature_4,0.046138514
F6,feature_6,0.044713024
F5,feature_5,0.04441613
F14,feature_14,0.044089604
F20,feature_20,0.043839112
F1,feature_1,0.04319577
F11,feature_11,0.04273987
F18,feature_18,0.04142697
F2,feature_2,0.041226197
F24,feature_24,0.040598676
F7,feature_7,0.04021416
F10,feature_10,0.03991129
F12,feature_12,0.03977892
F15,feature_15,0.039553914
F28,feature_28,0.039537236
F22,feature_22,0.038517825
F25,feature_25,0.038352974
F9,feature_9,0.037753746
F13,feature_13,0.037724048
F8,feature_8,0.03750328
F26,feature_26,0.03574871
F30,feature_30,0.035569098
F19,feature_19,0.0348557
F23,feature_23,0.034538023
F17,feature_17,0.034093443
F27,feature_27,0.03058352
