feature,feature_name,max_weight_score
F29,Feature29,0.10893556
F2,Feature2,0.10651837
F4,Feature4,0.1065015
F10,Feature10,0.09884485
F5,Feature5,0.09788673
F3,Feature3,0.09687052
F16,Feature16,0.09660634
F6,Feature6,0.09484244
F12,Feature12,0.094479926
F7,Feature7,0.09319555
F18,Feature18,0.09160636
F24,Feature24,0.089797415
F30,Feature30,0.08935828
F11,Feature11,0.088766456
F26,Feature26,0.08867937
F19,Feature19,0.08803144
F21,Feature21,0.08750327
F20,Feature20,0.08699876
F28,Feature28,0.08596802
F9,Feature9,0.08582346
F27,Feature27,0.08570394
F1,Feature1,0.085505396
F22,Feature22,0.0827725
F25,Feature25,0.082423426
F15,Feature15,0.08065845
F14,Feature14,0.08000138
F23,Feature23,0.0746301
F13,Feature13,0.07334533
F8,Feature8,0.070028424
F17,Feature17,0.06933628
