,Filter1,Filter2,Filter3,Filter4,Filter5,Filter6,Filter7,Filter8,Filter9,Filter10,Filter11,Filter12,Filter13,Filter14,Filter15,Filter16,Filter17,Filter18,Filter19,Filter20,Filter21,Filter22,Filter23,Filter24,Filter25,Filter26,Filter27,Filter28,Filter29,Filter30,Filter31,Filter32
F1,0.10789908,0.020922426,0.006177378,0.10616279,-0.13716932,0.04753616,0.07675594,-0.057877306,0.01811267,0.018066572,-0.07093392,-0.052061334,0.038369495,-0.012374078,0.010987773,0.09833721,-0.11404433,-0.09464835,-0.013053097,-0.13628028,-0.0805242,0.09536843,0.10621988,-0.067886755,0.07846991,-0.09612193,-0.008875356,-0.008672883,0.017598474,-0.092046715,-0.10392261,0.12978
F2,-0.07817497,-0.00940643,-0.05270479,-0.09201881,0.057397176,-0.10609677,0.027403532,0.026979178,-0.10447077,0.0033837992,-0.101421505,-0.017960688,0.10131446,-0.025925593,0.010837161,-0.05503659,-0.0710768,0.053397518,0.05424049,-0.026364753,-0.13507149,-0.101385675,0.06418169,0.090652,-0.042808317,-0.041991197,-0.12909384,-0.1353304,0.02739376,0.07333748,-0.053371675,0.01782687
F3,-0.03775363,0.08062499,-0.07289605,0.0053700567,0.047174636,0.083588876,0.031308413,0.11984723,0.06889886,-0.09045909,0.0371479,-0.104274064,0.12352067,0.06256217,0.0075625964,-0.105954304,-0.04838658,0.13712102,-0.11053488,-0.022158146,-0.078218445,-0.09284454,0.053577732,0.112303585,0.032773368,0.03899778,0.028169109,0.040048897,-0.041661724,-0.076657906,0.04902783,-0.03430873
F4,0.1045285,0.10280617,-0.033698853,-0.09305771,0.055607837,0.060241304,0.002852888,-0.07150095,-0.0939961,0.06421912,-0.08049039,-0.0015853203,0.031424847,0.0040891073,-0.085466124,0.05355342,-0.005703339,0.064456284,-0.028711654,-0.058385845,0.11558744,-0.115834765,-0.08292395,-0.05548105,0.007655354,-0.07662615,-0.08614839,0.09667457,0.04456832,0.008037897,0.09627565,-0.09863046
F5,0.028042914,-0.079190254,0.07398146,-0.11904323,0.017653273,-0.0019374194,-0.0705281,-0.07859417,-0.01790028,0.0037861592,0.12586932,-0.059637323,-0.10914016,-0.07143926,0.04473653,0.06261484,0.08383878,0.01055384,-0.026661707,0.140611,-0.03689447,-0.047764674,0.021040734,0.062038656,-0.12948194,0.0037489748,-0.06800203,-0.11960947,0.05819088,-0.049904615,0.06899434,0.06551417
F6,-0.03071099,0.001181076,-0.11486241,0.07026917,0.10942022,-0.10202108,0.056404777,-0.015839554,0.0852787,-0.10652789,-0.068240575,0.027853549,0.0034541283,-0.005689102,-0.05772382,0.07865798,0.004504891,-0.08205702,0.06890083,-0.12826042,-0.004700848,0.088444225,-0.14875486,-0.09897817,-0.033502817,-0.01988937,-0.0074562696,-0.1105835,-0.051604997,-0.029822987,-0.015593246,-0.096259266
F7,-0.015625123,0.039773703,0.10200118,0.057892006,-0.0628088,-0.044296265,0.050702836,0.014174712,-0.082374096,-0.013753531,-0.019635139,0.056797147,-0.062397834,-0.07206326,-0.11879558,-0.072135545,0.023142492,0.08484433,-0.0085683,-0.07192846,-0.117394686,0.02397132,-0.066200994,-0.05518514,0.002666737,-0.07025929,0.046599347,-0.03453328,-0.0037871446,-0.06759065,0.05190308,-0.107424326
F8,-0.05453384,-0.035852604,2.9454879e-05,0.010553214,-0.059207287,-0.07703335,-0.07967507,-0.0012180437,0.031353254,-0.051789053,0.025471581,-0.07503783,-0.061891325,0.023987994,-0.08965343,0.037908267,0.041264974,-0.03662945,-0.017707339,0.0671397,0.07473882,0.043127436,-0.024233142,0.06921764,0.06598643,-0.07302962,-0.012823733,0.02019457,-0.0057329065,-0.053919796,0.070139796,0.11464881
F9,0.0061364053,-0.124017715,0.03551403,0.020058287,-0.025920548,-0.008963893,0.097306,0.01395295,-0.10949286,0.019260403,-0.010463219,0.04812362,0.14399204,-0.08611266,-0.09460917,0.049340777,-0.04327389,0.101050906,0.053211253,0.11863978,-0.07753966,0.08566774,0.045874204,0.032704525,0.03966966,0.070401475,0.059796818,0.010946646,-0.053866092,0.04250087,0.021783408,-0.014963426
F10,0.032261603,-0.014521148,0.10470158,-0.0338992,-0.003955629,-0.061183818,0.061016534,0.0029888065,0.08616484,0.025427582,-0.12101043,0.08379877,0.0333392,0.006796296,0.033845533,-0.033386655,-0.08116955,-0.101128936,0.0821257,0.06521048,0.08801831,-0.017601226,0.028629867,0.12951685,0.051143732,-0.0069482974,0.066255085,0.12698582,0.086519256,-0.006266447,-0.06559698,0.012563219
F11,-0.05058246,0.043178935,-0.079972535,0.005927181,-0.13840562,-0.05404495,-0.10220544,0.13908575,0.12984031,-0.091622226,0.09406272,-0.039717317,-0.025907002,0.011378243,0.006546286,0.035832815,-0.10933054,-0.05791539,-0.12382187,0.069553286,0.057880078,-0.09024771,-0.075914755,0.033767477,-0.12076553,0.04230354,-0.033132788,0.09672005,-0.08510073,0.018334402,-0.009594366,-0.077965096
F12,0.1029315,0.010198439,-0.003366764,-0.13807562,-0.11874081,0.0071868715,-0.115692325,-0.10943906,-0.054876834,0.06875426,0.044635996,-0.07037881,-0.14116216,0.11550943,-0.11664089,0.1138221,-0.15043421,-0.036614876,-0.018474702,-0.02173595,0.06556302,0.043169234,0.011756588,-0.085613765,0.0115065295,-0.07854413,-0.00844564,0.046480883,-0.13612615,0.09608986,-0.08305555,0.0626731
